 GRID IS READ
 METRIC IS CALCULATED
 INITIAL SOLUTION IS GENERATED
 RESTART OPTION: INITIAL SOLUTION IS READ
 HYDROSTATIC PRESSURE IS CALCULATED 
 CONVERGENCE HISTORY FILES ARE OPENED
    1001 0.357E-04 0.465E-05 0.418E-05 0.851E-05
    1002 0.361E-04 0.469E-05 0.574E-05 0.853E-05
    1003 0.362E-04 0.517E-05 0.521E-05 0.853E-05
    1004 0.363E-04 0.431E-05 0.419E-05 0.122E-04
    1005 0.366E-04 0.424E-05 0.474E-05 0.817E-05
    1006 0.366E-04 0.547E-05 0.412E-05 0.807E-05
    1007 0.366E-04 0.536E-05 0.428E-05 0.807E-05
    1008 0.363E-04 0.672E-05 0.492E-05 0.807E-05
    1009 0.360E-04 0.586E-05 0.462E-05 0.125E-04
    1010 0.355E-04 0.606E-05 0.477E-05 0.710E-05
    1011 0.348E-04 0.646E-05 0.492E-05 0.710E-05
    1012 0.341E-04 0.657E-05 0.512E-05 0.818E-05
    1013 0.332E-04 0.744E-05 0.538E-05 0.708E-05
    1014 0.321E-04 0.769E-05 0.563E-05 0.109E-04
    1015 0.310E-04 0.785E-05 0.590E-05 0.864E-05
    1016 0.298E-04 0.898E-05 0.613E-05 0.735E-05
    1017 0.284E-04 0.837E-05 0.652E-05 0.728E-05
    1018 0.270E-04 0.891E-05 0.657E-05 0.105E-04
    1019 0.255E-04 0.797E-05 0.731E-05 0.805E-05
    1020 0.239E-04 0.101E-04 0.689E-05 0.803E-05
    1021 0.222E-04 0.104E-04 0.757E-05 0.801E-05
    1022 0.205E-04 0.963E-05 0.809E-05 0.799E-05
    1023 0.187E-04 0.950E-05 0.716E-05 0.797E-05
    1024 0.169E-04 0.923E-05 0.752E-05 0.795E-05
    1025 0.151E-04 0.101E-04 0.818E-05 0.793E-05
    1026 0.131E-04 0.108E-04 0.814E-05 0.791E-05
    1027 0.113E-04 0.807E-05 0.873E-05 0.789E-05
    1028 0.934E-05 0.844E-05 0.780E-05 0.788E-05
    1029 0.746E-05 0.844E-05 0.831E-05 0.786E-05
    1030 0.552E-05 0.971E-05 0.915E-05 0.784E-05
    1031 0.598E-05 0.835E-05 0.945E-05 0.782E-05
    1032 0.738E-05 0.726E-05 0.657E-05 0.780E-05
    1033 0.868E-05 0.717E-05 0.678E-05 0.779E-05
    1034 0.997E-05 0.694E-05 0.723E-05 0.777E-05
    1035 0.111E-04 0.684E-05 0.669E-05 0.776E-05
    1036 0.123E-04 0.638E-05 0.597E-05 0.774E-05
    1037 0.133E-04 0.611E-05 0.741E-05 0.773E-05
    1038 0.143E-04 0.615E-05 0.651E-05 0.771E-05
    1039 0.152E-04 0.578E-05 0.517E-05 0.770E-05
    1040 0.160E-04 0.570E-05 0.542E-05 0.769E-05
    1041 0.167E-04 0.934E-05 0.506E-05 0.768E-05
    1042 0.174E-04 0.747E-05 0.454E-05 0.809E-05
    1043 0.180E-04 0.453E-05 0.398E-05 0.727E-05
    1044 0.188E-04 0.523E-05 0.398E-05 0.726E-05
    1045 0.196E-04 0.574E-05 0.375E-05 0.759E-05
    1046 0.203E-04 0.411E-05 0.636E-05 0.100E-04
    1047 0.209E-04 0.338E-05 0.600E-05 0.724E-05
    1048 0.214E-04 0.463E-05 0.399E-05 0.723E-05
    1049 0.218E-04 0.448E-05 0.444E-05 0.723E-05
    1050 0.221E-04 0.521E-05 0.522E-05 0.723E-05
    1051 0.223E-04 0.516E-05 0.365E-05 0.723E-05
    1052 0.224E-04 0.418E-05 0.365E-05 0.108E-04
    1053 0.225E-04 0.463E-05 0.444E-05 0.865E-05
    1054 0.226E-04 0.656E-05 0.376E-05 0.892E-05
    1055 0.227E-04 0.318E-05 0.274E-05 0.892E-05
    1056 0.226E-04 0.578E-05 0.284E-05 0.892E-05
    1057 0.225E-04 0.491E-05 0.317E-05 0.891E-05
    1058 0.223E-04 0.513E-05 0.349E-05 0.891E-05
    1059 0.219E-04 0.441E-05 0.334E-05 0.860E-05
    1060 0.215E-04 0.679E-05 0.328E-05 0.124E-04
    1061 0.211E-04 0.620E-05 0.329E-05 0.743E-05
    1062 0.205E-04 0.630E-05 0.403E-05 0.971E-05
    1063 0.199E-04 0.747E-05 0.376E-05 0.532E-05
    1064 0.192E-04 0.710E-05 0.368E-05 0.449E-05
    1065 0.188E-04 0.587E-05 0.422E-05 0.444E-05
    1066 0.176E-04 0.581E-05 0.392E-05 0.440E-05
    1067 0.167E-04 0.672E-05 0.477E-05 0.435E-05
    1068 0.157E-04 0.911E-05 0.415E-05 0.497E-05
    1069 0.148E-04 0.656E-05 0.422E-05 0.429E-05
    1070 0.138E-04 0.985E-05 0.548E-05 0.430E-05
    1071 0.127E-04 0.703E-05 0.522E-05 0.432E-05
    1072 0.116E-04 0.646E-05 0.453E-05 0.433E-05
    1073 0.105E-04 0.746E-05 0.439E-05 0.434E-05
    1074 0.940E-05 0.659E-05 0.626E-05 0.435E-05
    1075 0.828E-05 0.563E-05 0.470E-05 0.436E-05
    1076 0.711E-05 0.747E-05 0.522E-05 0.437E-05
    1077 0.598E-05 0.587E-05 0.665E-05 0.439E-05
    1078 0.481E-05 0.587E-05 0.511E-05 0.440E-05
    1079 0.368E-05 0.545E-05 0.524E-05 0.441E-05
    1080 0.352E-05 0.498E-05 0.705E-05 0.442E-05
    1081 0.412E-05 0.514E-05 0.452E-05 0.443E-05
    1082 0.594E-05 0.635E-05 0.626E-05 0.444E-05
    1083 0.564E-05 0.465E-05 0.496E-05 0.445E-05
    1084 0.636E-05 0.731E-05 0.531E-05 0.446E-05
    1085 0.700E-05 0.630E-05 0.548E-05 0.454E-05
    1086 0.763E-05 0.463E-05 0.398E-05 0.464E-05
    1087 0.818E-05 0.560E-05 0.372E-05 0.448E-05
    1088 0.872E-05 0.418E-05 0.354E-05 0.449E-05
    1089 0.918E-05 0.516E-05 0.314E-05 0.449E-05
    1090 0.962E-05 0.464E-05 0.434E-05 0.450E-05
    1091 0.998E-05 0.530E-05 0.375E-05 0.451E-05
    1092 0.103E-04 0.426E-05 0.267E-05 0.451E-05
    1093 0.107E-04 0.620E-05 0.360E-05 0.451E-05
    1094 0.112E-04 0.497E-05 0.323E-05 0.456E-05
    1095 0.116E-04 0.629E-05 0.326E-05 0.452E-05
    1096 0.120E-04 0.481E-05 0.322E-05 0.482E-05
    1097 0.123E-04 0.503E-05 0.305E-05 0.603E-05
    1098 0.125E-04 0.481E-05 0.403E-05 0.471E-05
    1099 0.127E-04 0.560E-05 0.434E-05 0.453E-05
    1100 0.128E-04 0.523E-05 0.381E-05 0.488E-05
    1101 0.128E-04 0.560E-05 0.373E-05 0.455E-05
    1102 0.129E-04 0.560E-05 0.237E-05 0.454E-05
    1103 0.129E-04 0.797E-05 0.522E-05 0.454E-05
    1104 0.130E-04 0.563E-05 0.463E-05 0.453E-05
    1105 0.129E-04 0.580E-05 0.235E-05 0.452E-05
    1106 0.129E-04 0.812E-05 0.267E-05 0.452E-05
    1107 0.127E-04 0.578E-05 0.259E-05 0.648E-05
    1108 0.125E-04 0.465E-05 0.261E-05 0.523E-05
    1109 0.123E-04 0.448E-05 0.243E-05 0.451E-05
    1110 0.120E-04 0.925E-05 0.323E-05 0.577E-05
    1111 0.117E-04 0.679E-05 0.383E-05 0.515E-05
    1112 0.113E-04 0.499E-05 0.299E-05 0.514E-05
    1113 0.109E-04 0.503E-05 0.607E-05 0.514E-05
    1114 0.105E-04 0.516E-05 0.259E-05 0.513E-05
    1115 0.104E-04 0.797E-05 0.250E-05 0.512E-05
    1116 0.103E-04 0.578E-05 0.401E-05 0.512E-05
    1117 0.110E-04 0.694E-05 0.246E-05 0.511E-05
    1118 0.110E-04 0.386E-05 0.463E-05 0.511E-05
    1119 0.110E-04 0.868E-05 0.357E-05 0.510E-05
    1120 0.110E-04 0.568E-05 0.411E-05 0.509E-05
    1121 0.104E-04 0.606E-05 0.318E-05 0.509E-05
    1122 0.940E-05 0.418E-05 0.434E-05 0.508E-05
    1123 0.940E-05 0.405E-05 0.372E-05 0.507E-05
    1124 0.940E-05 0.587E-05 0.441E-05 0.507E-05
    1125 0.783E-05 0.729E-05 0.356E-05 0.506E-05
    1126 0.835E-05 0.486E-05 0.521E-05 0.506E-05
    1127 0.731E-05 0.635E-05 0.492E-05 0.505E-05
    1128 0.574E-05 0.516E-05 0.470E-05 0.504E-05
    1129 0.574E-05 0.528E-05 0.376E-05 0.504E-05
    1130 0.418E-05 0.703E-05 0.391E-05 0.503E-05
    1131 0.418E-05 0.597E-05 0.391E-05 0.503E-05
    1132 0.373E-05 0.784E-05 0.339E-05 0.502E-05
    1133 0.351E-05 0.336E-05 0.406E-05 0.502E-05
    1134 0.387E-05 0.560E-05 0.422E-05 0.501E-05
    1135 0.420E-05 0.523E-05 0.492E-05 0.501E-05
    1136 0.469E-05 0.486E-05 0.445E-05 0.501E-05
    1137 0.601E-05 0.601E-05 0.305E-05 0.500E-05
    1138 0.607E-05 0.523E-05 0.444E-05 0.500E-05
    1139 0.595E-05 0.636E-05 0.548E-05 0.499E-05
    1140 0.551E-05 0.635E-05 0.474E-05 0.499E-05
    1141 0.703E-05 0.486E-05 0.356E-05 0.499E-05
    1142 0.609E-05 0.448E-05 0.407E-05 0.499E-05
    1143 0.797E-05 0.523E-05 0.289E-05 0.498E-05
    1144 0.641E-05 0.523E-05 0.344E-05 0.498E-05
    1145 0.660E-05 0.523E-05 0.305E-05 0.498E-05
    1146 0.677E-05 0.381E-05 0.384E-05 0.498E-05
    1147 0.690E-05 0.671E-05 0.288E-05 0.498E-05
    1148 0.701E-05 0.261E-05 0.250E-05 0.498E-05
    1149 0.708E-05 0.503E-05 0.283E-05 0.498E-05
    1150 0.713E-05 0.503E-05 0.301E-05 0.498E-05
    1151 0.713E-05 0.396E-05 0.303E-05 0.498E-05
    1152 0.719E-05 0.463E-05 0.328E-05 0.498E-05
    1153 0.722E-05 0.528E-05 0.297E-05 0.498E-05
    1154 0.721E-05 0.545E-05 0.244E-05 0.498E-05
    1155 0.718E-05 0.373E-05 0.329E-05 0.499E-05
    1156 0.712E-05 0.366E-05 0.313E-05 0.499E-05
    1157 0.713E-05 0.347E-05 0.340E-05 0.499E-05
    1158 0.692E-05 0.629E-05 0.376E-05 0.499E-05
    1159 0.678E-05 0.337E-05 0.364E-05 0.499E-05
    1160 0.661E-05 0.463E-05 0.470E-05 0.500E-05
    1161 0.643E-05 0.454E-05 0.287E-05 0.500E-05
    1162 0.622E-05 0.348E-05 0.313E-05 0.500E-05
    1163 0.659E-05 0.463E-05 0.318E-05 0.500E-05
    1164 0.574E-05 0.347E-05 0.251E-05 0.501E-05
    1165 0.549E-05 0.425E-05 0.405E-05 0.501E-05
    1166 0.521E-05 0.338E-05 0.236E-05 0.501E-05
    1167 0.492E-05 0.925E-05 0.237E-05 0.502E-05
    1168 0.461E-05 0.366E-05 0.243E-05 0.502E-05
